Source:Port,Destination:Port,Data Transferred (bytes)
68.64.28.20:443,172.16.133.26:53042,6329
172.16.133.116:56985,96.43.146.48:443,120
172.16.133.132:52328,98.139.240.23:80,1036
23.33.81.244:80,172.16.133.29:60108,67476
98.139.161.29:80,172.16.133.132:54615,713
96.43.146.48:443,172.16.133.37:60541,15410
172.16.133.23:55024,67.217.66.244:443,246
172.16.133.23:55025,216.219.115.250:443,246
96.43.146.22:443,172.16.133.116:57461,197
96.43.146.178:443,172.16.133.45:61259,15502
172.16.133.45:61259,96.43.146.178:443,5529
157.56.232.214:443,172.16.133.63:49370,960
130.64.83.164:64216,172.16.133.78:58905,8835
98.138.19.88:80,172.16.133.132:44305,948
67.217.66.244:443,172.16.133.23:55024,120
172.16.133.29:60710,23.0.49.244:80,10115
172.16.133.78:59016,172.16.139.250:5440,1142
216.219.115.250:443,172.16.133.23:55025,120
68.64.28.20:443,172.16.133.36:64957,6664
172.16.133.29:60709,23.0.49.244:80,10482
172.16.133.36:64957,68.64.28.20:443,6983
98.139.240.23:80,172.16.133.132:52328,618
172.16.133.23:55026,68.64.30.250:443,246
172.16.133.23:55027,68.64.13.250:443,246
96.43.146.48:443,172.16.133.116:56985,137
216.115.208.199:443,172.16.133.60:62037,13677
172.16.133.63:64439,74.125.226.195:443,25035
23.0.49.244:80,172.16.133.29:60710,38369
172.16.133.126:57827,72.52.5.192:80,46452
23.0.49.244:80,172.16.133.29:60709,36468
172.16.133.35:64163,172.16.139.250:5500,348
74.125.226.195:443,172.16.133.63:64439,112779
172.16.133.73:59940,23.32.176.63:443,33019
68.64.30.250:443,172.16.133.23:55026,120
172.16.133.67:55894,172.16.139.250:5440,1022
68.64.13.250:443,172.16.133.23:55027,120
172.16.133.42:57002,172.16.139.250:5440,1142
23.32.176.63:443,172.16.133.73:59940,39246
172.16.128.169:8014,172.16.133.119:49271,326
172.16.128.169:8014,172.16.133.10:10188,326
172.16.133.56:61341,172.16.139.250:5440,1142
172.16.133.10:10188,172.16.128.169:8014,120
172.16.133.119:49271,172.16.128.169:8014,120
23.20.10.203:443,172.16.133.24:57631,211
172.16.133.24:57631,23.20.10.203:443,120
172.16.133.63:49366,172.16.139.250:5500,1740
64.56.203.22:443,172.16.133.24:57609,120
172.16.133.24:57609,64.56.203.22:443,120
172.16.128.15:57460,172.16.139.250:3389,19022
172.16.133.132:38635,98.139.134.187:80,942
172.16.133.67:51316,216.115.216.44:443,10286
172.16.133.67:51317,216.219.115.17:443,10220
172.16.133.67:51318,216.115.217.144:443,10220
172.16.133.67:51313,64.74.80.15:443,10220
72.52.5.192:80,172.16.133.126:57827,55839
172.16.133.75:50875,172.16.139.250:5440,1022
172.16.133.41:52656,172.16.139.250:5440,1022
172.16.133.21:53015,173.194.43.46:443,420
172.16.133.95:49359,157.56.240.102:443,36900
96.43.146.22:443,172.16.133.53:53841,2831
98.139.134.187:80,172.16.133.132:38635,7541
64.74.80.15:443,172.16.133.67:51313,5975
216.115.216.44:443,172.16.133.67:51316,6066
216.115.217.144:443,172.16.133.67:51318,5975
216.219.115.17:443,172.16.133.67:51317,5975
172.16.133.85:52185,172.16.139.250:5440,1142
157.56.241.150:443,172.16.133.58:53926,43248
